id,state,chamber,committee,subcommittee,parent_id
VTC000017,vt,lower,Education,,
VTC000019,vt,lower,"General, Housing And Military Affairs",,
VTC000016,vt,lower,Corrections And Institutions,,
VTC000020,vt,lower,Government Operations,,
VTC000023,vt,lower,Judiciary,,
VTC000027,vt,lower,House Rules Committee,,
VTC000013,vt,lower,Agriculture,,
VTC000026,vt,lower,Ways And Means,,
VTC000014,vt,lower,Appropriations,,
VTC000015,vt,lower,Commerce And Economic Development,,
VTC000018,vt,lower,"Fish, Wildlife And Water Resources",,
VTC000025,vt,lower,Transportation,,
VTC000021,vt,lower,Health Care,,
VTC000022,vt,lower,Human Services,,
VTC000024,vt,lower,Natural Resources And Energy,,
VTC000029,vt,lower,Agriculture And Forest Products,,
VTC000004,vt,upper,Education,,
VTC000005,vt,upper,Finance,,
VTC000007,vt,upper,Health And Welfare,,
VTC000008,vt,upper,Institutions,,
VTC000001,vt,upper,Agriculture,,
VTC000002,vt,upper,Appropriations,,
VTC000003,vt,upper,"Economic Development, Housing And General Affairs",,
VTC000006,vt,upper,Government Operations,,
VTC000009,vt,upper,Judiciary,,
VTC000010,vt,upper,Natural Resources And Energy,,
VTC000011,vt,upper,Transportation,,
VTC000028,vt,upper,Senate Rules Committee,,
